userId,1,2,3,4
4043,,"{'20', '22'}",{'3'},"{'19', '6'}"
4044,"{'4', '1'}",{'1'},"{'4', '1'}","{'4', '1'}"
4045,"{'20', '22', '19', '1'}","{'20', '22'}","{'20', '22', '6'}","{'20', '6'}"
4046,"{'19', '4'}",{'19'},{'19'},"{'19', '4'}"
4047,,"{'22', '1'}","{'22', '19', '1'}","{'22', '19'}"
4048,"{'22', '19'}","{'19', '1', '13'}","{'22', '19', '1'}","{'22', '19'}"
4049,"{'22', '19', '4'}","{'22', '19', '4'}","{'22', '19'}","{'22', '19'}"
4050,"{'22', '15', '10'}","{'22', '15', '1', '10'}","{'22', '15', '5', '4', '10'}","{'22', '15', '19', '10'}"
4051,"{'22', '19', '4'}","{'22', '4'}",{'22'},"{'22', '19'}"
4052,{'22'},{'19'},{'22'},{'22'}
4053,"{'22', '19'}","{'22', '19'}","{'22', '19'}","{'22', '19'}"
4054,"{'15', '19'}",{'19'},"{'4', '19', '1'}",{'19'}
4055,"{'16', '10'}",,{'10'},
4056,{'1'},,,
4057,,"{'22', '19'}",,
4058,{'22'},{'22'},{'22'},{'22'}
4059,"{'15', '7', '6', '8', '10'}",{'10'},{'16'},"{'22', '19'}"
4060,,{'22'},"{'22', '19'}","{'4', '22', '19'}"
4061,{'22'},{'22'},{'22'},{'22'}
4062,,,"{'19', '10'}","{'20', '4'}"
4063,,,{'5'},
4064,"{'22', '1'}",{'1'},{'1'},{'19'}
4065,"{'19', '4'}","{'4', '19', '6'}",{'4'},"{'19', '1', '13'}"
4066,"{'22', '3'}","{'22', '3'}","{'22', '3'}","{'22', '3', '1', '14'}"
4067,,,,{'15'}
4068,{'5'},"{'1', '5'}",{'5'},{'5'}
4069,"{'22', '19'}","{'22', '19', '16'}","{'22', '19'}","{'19', '22', '4', '1'}"
4070,"{'22', '19', '1'}","{'22', '15', '19'}","{'19', '22', '15', '1', '4'}","{'19', '22', '15'}"
4071,"{'22', '19', '1'}",{'22'},"{'19', '22', '4'}","{'19', '22', '15', '1', '4'}"
4072,{'19'},"{'19', '1', '5'}","{'22', '19', '5'}","{'19', '1'}"
4073,{'19'},{'19'},"{'22', '19', '1'}","{'22', '1'}"
4074,"{'22', '19'}","{'22', '19'}",{'22'},"{'22', '19', '1', '21'}"
4075,,,,"{'4', '19'}"
4076,{'5'},"{'1', '5'}",,"{'19', '1', '5'}"
